"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"66",449000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",457000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",465000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",473000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",481000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",489000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",497000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",505000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",513000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",521000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",529000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",537000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",545000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",553000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",561000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",569000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",577000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",585000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",593000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",601000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",609000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",617000,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
