"","Map.X","Map.Y","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","NA"
"66",449000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"67",457000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"68",465000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"69",473000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"70",481000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"71",489000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"72",497000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"73",505000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"74",513000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"75",521000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"76",529000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"77",537000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"78",545000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"79",553000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"80",561000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"81",569000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"82",577000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"83",585000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"84",593000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"85",601000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"86",609000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"87",617000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"88",625000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"89",633000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"90",641000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"91",649000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"92",657000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"93",665000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"94",673000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"95",681000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"96",689000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"97",697000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"98",705000,1490000,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
