"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"12636",0.26728,0.3122925,0.1324625,0.0393033333333333,0.02595,0.006945,0.0205425,0.030535,0.0319575,0.04265,0.132265,0.208285
"12656",0.314705,0.3361575,0.1275275,0.0394366666666667,0.026725,0.006875,0.0196625,0.02944,0.03128,0.04229,0.12019,0.18801
"12657",0.136425,0.161355,0.0710925,0.02274,0.016635,0.0021475,0.0073725,0.01165,0.0065875,0.0153233333333333,0.053085,0.0764975
"12658",0.0300625,0.011605,0.02377,0.02052,0.02934725,0.0241375,0.02311,0.025605,0.020205,0.0298903333333333,0.00903,0.01489
"12661",0.1372275,0.1607225,0.0798625,0.0225766666666667,0.01665,0.002175,0.0074325,0.0117475,0.00654,0.0154533333333333,0.05415,0.0850975
"12662",0.138995,0.16105,0.0837775,0.02252,0.016645,0.002175,0.0074425,0.0117675,0.006535,0.0155,0.063285,0.0952375
"12663",0.14115,0.16134,0.085295,0.02246,0.0166375,0.00217999999999999,0.00745000000000001,0.01179,0.0065325,0.0155433333333333,0.06675,0.1058825
"12668",0.3403075,0.340585,0.14375,0.0385633333333333,0.02673,0.0066875,0.0190225,0.0288775,0.0311725,0.0425533333333333,0.154575,0.2795575
"12677",0.3313925,0.342965,0.139475,0.0378633333333333,0.0265375,0.00657,0.0185425,0.0284075,0.0311875,0.04286,0.1382625,0.2833425
"12761",-0.14804,-0.1724575,-0.0562275,-0.0170133333333333,-0.0094775,-0.00578499999999999,-0.0163525,-0.021535,-0.02457,-0.0270033333333333,-0.0676875,-0.14936
"12764",0.3362625,0.336275,0.145175,0.0585933333333333,0.05391275,0.03203,0.0459925,0.059225,0.05564,0.072103,0.1448675,0.2734375
"12766",0.2924675,0.3148025,0.1189375,0.0385866666666667,0.02492,0.0070175,0.0215475,0.0316375,0.032125,0.04276,0.1425425,0.2529075
"12767",0.29706,0.312045,0.118615,0.03867,0.0250225,0.00701249999999999,0.0214525,0.0315275,0.0321175,0.0427366666666667,0.1426875,0.248255
"12769",0.2930875,0.31087,0.1132175,0.0388233333333333,0.02522,0.00700000000000001,0.021255,0.0313175,0.0321,0.0427133333333333,0.1389125,0.229775
"12771",0.2832,0.3127775,0.117755,0.03895,0.025385,0.0069875,0.0210775,0.0311275,0.0320725,0.04266,0.1375675,0.22307
"12774",0.13802,0.1437075,0.07645,0.0219266666666667,0.015695,0.0016475,0.00638,0.011065,0.0074075,0.0153966666666667,0.0673525,0.097515
"12775",0.2739725,0.31085,0.128015,0.03918,0.0256725,0.00697,0.020775,0.03079,0.031995,0.04256,0.1316425,0.19901
"724",5.000000000005e-06,-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,0
"874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"994",0,-2.49999999998862e-06,-2.5000000000025e-06,0,0,0,0,0,0,0,0,-2.50000000001638e-06
"995",-2.49999999998862e-06,-2.49999999998862e-06,2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"1139",0,0,2.50000000001638e-06,0,0,0,0,0,0,0,0,2.49999999998862e-06
"1140",-5.000000000005e-06,0,0,0,0,0,0,0,0,0,0,0
"1141",-2.50000000001638e-06,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0
"1142",-2.49999999998862e-06,0,-2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"1143",-2.50000000001638e-06,-5.000000000005e-06,0,0,0,0,0,0,0,0,0,0
