"","Lat","Lon","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"50",49.61423035,-92.65880738,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"51",49.62258927,-92.54892901,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"52",49.63085051,-92.43901572,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"53",49.63901403,-92.32906789,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"54",49.64707977,-92.21908593,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"55",49.65504769,-92.10907023,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"56",49.66291774,-91.99902118,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"57",49.67068988,-91.8889392,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"58",49.67836406,-91.77882466,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"59",49.68594023,-91.66867798,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"60",49.69341835,-91.55849955,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"61",49.70079837,-91.44828977,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"62",49.70808025,-91.33804905,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"63",49.71526394,-91.22777778,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"64",49.72234941,-91.11747637,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"65",49.72933661,-91.00714523,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"66",49.7362255,-90.89678474,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"67",49.74301603,-90.78639533,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"68",49.74970817,-90.6759774,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"69",49.75630187,-90.56553134,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"70",49.76279711,-90.45505757,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"71",49.76919383,-90.3445565,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"72",49.775492,-90.23402853,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
"73",49.78169157,-90.12347407,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999
