"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"6374",0.1985325,0.2062325,0.1401925,0.0586946666666667,0.06803075,0.06759625,0.0650625,0.0656915,0.06021575,0.06602,0.0746635,0.1522925
"6375",0.14885,0.165225,0.0878975,0.02687,0.01721,0.00138000000000001,0.00482249999999999,0.0091125,0.00899750000000001,0.0223266666666667,0.064965,0.131275
"6529",0.14602,0.167165,0.0880725,0.0301766666666667,0.01701,0.00153500000000001,0.00476500000000001,0.0081025,0.00826499999999999,0.0212366666666667,0.06222,0.12151
"6530",0,0,0,0,0,0,0,0,0,0,0,0
"6531",0,0,0,0,0,0,0,0,0,0,0,0
"6532",0,0,0,0,0,0,0,0,0,0,0,0
"6533",0,0,0,0,0,0,0,0,0,0,0,0
"6534",0.032715,0.0108675,0.031715,0.0176966666666667,0.027625,0.0240975,0.018735,0.0214925,0.0223475,0.0225566666666667,0.008725,0.02163
"6535",0.023565,0.01162,0.0286925,0.0177666666666667,0.027685,0.0241975,0.0189225,0.021625,0.02241,0.02261,0.0104875,0.0124325
"6539",0.0468475,0.0386025,0.047305,0.0287446666666667,0.05123075,0.06599375,0.0600725,0.056974,0.05197575,0.0415593333333333,0.0079235,0.02605
"6540",0.0462625,0.0375575,0.0464475,0.0287146666666667,0.05125325,0.06598625,0.0600625,0.057014,0.05207075,0.0415926666666667,0.0073885,0.022515
"6550",0.0258566666666667,0.0131575,0.0318425,0.0185,0.028615,0.0253775,0.021475,0.023215,0.0235925,0.0234933333333333,0.007675,-0.00849500000000001
"6551",NA,0.01294,0.03324,0.0185433333333333,0.02868,0.0254225,0.0216075,0.0232875,0.0236675,0.0235733333333333,0.0076675,-0.0413733333333333
"6699",0.03183,0.0133425,0.0377575,0.0187733333333333,0.0289915,0.0252375,0.0219825,0.023345,0.023895,0.0241066666666667,0.0092075,0.000422499999999999
"6700",0.0211425,0.0177875,0.0382,0.0188033333333333,0.029061,0.0252325,0.0220375,0.0233725,0.02395,0.0242,0.009385,0.0122575
"6702",0.0298,0.0117966666666667,0.0299725,0.01895,0.029191,0.025215,0.0221325,0.02341,0.024045,0.0243833333333333,0.007915,-0.014765
"6705",0.0328125,0.0224175,0.0387925,0.0199666666666667,0.02939375,0.025165,0.02224,0.0234475,0.0241775,0.0246866666666667,0.007245,-0.0138025
"6706",0.01702,0.01522,0.03587,0.0197566666666667,0.02945375,0.0251325,0.0222575,0.0234525,0.0242125,0.0248,0.008725,0.00460750000000001
"6707",0,0,0,0,0,0,0,0,0,0,0,0
"6711",0.0397675,0.0198475,0.02981,0.02037,0.02975925,0.0249875,0.0223825,0.0234275,0.024295,0.0253733333333333,0.0064575,-0.000432500000000009
"6714",0,0,0,0,0,0,0,0,0,0,0,0
"6717",0.0243325,0.01492,0.0194825,0.007968,0.02231625,0.04097625,0.03734,0.0342615,0.03115325,0.0182326666666667,-0.001834,0.01381
"6718",0,0,0,0,0,0,0,0,0,0,0,0
"6720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6721",0.02997,0.0218625,0.00638,0.02241,0.030357,0.0253575,0.0233125,0.0239025,0.02456,0.0258566666666667,0.0072975,-0.0021375
"6723",NA,NA,NA,NA,0.025746,0.04045125,0.0365375,0.0337015,0.0329183333333333,NA,NA,NA
"6797",0,0,0,0,0,0,0,0,0,0,0,0
"6867",0.03311,0.019045,0.0410625,0.0215933333333333,0.0306465,0.025745,0.0240525,0.024255,0.024475,0.0261166666666667,0.0085375,0.017095
"6870",-0.0332225,-0.0241975,-0.01725,-0.0228033333333333,-0.030964,-0.026315,-0.0247775,-0.02472,-0.0246625,-0.0260966666666667,-0.00944,-0.019475
"6871",0,0,0,0,0,0,0,0,0,0,0,0
"6872",0,0,0,0,0,0,0,0,0,0,0,0
"6873",0,0,0,0,0,0,0,0,0,0,0,0
"6875",0.192705,0.19704,0.1437025,0.064518,0.06806575,0.06806625,0.0648475,0.0636165,0.06007575,0.0625593333333333,0.0711885,0.1404075
"6876",0.1724025,0.1876375,0.119595,0.0602466666666667,0.046666,0.0295175,0.0307475,0.031715,0.029235,0.0445166666666667,0.07434,0.12977
"6877",0.1728275,0.188145,0.1250125,0.06026,0.046747,0.02974,0.031015,0.031925,0.0293,0.04451,0.073465,0.128175
"6884",0,0,0,0,0,0,0,0,0,0,0,0
"6886",0,0,0,0,0,0,0,0,0,0,0,0
"6888",NA,NA,NA,NA,-0.0241486666666667,-0.03591875,-0.031085,-0.0297265,-0.031675,NA,NA,NA
"6938",0.1929825,0.18738,0.080085,0.0111866666666667,0.00583000000000001,0.00643,0.019025,0.0222025,0.025205,0.0244866666666667,0.0730675,0.1739725
"7022",0.0108975,0.0156425,0.00622499999999999,0.007158,0.021166,0.03779625,0.0331125,0.0311565,0.03079575,0.0179626666666667,-0.00202175,-0.005055
"7027",0,0,0,0,0,0,0,0,0,0,0,0
"7028",0.044815,0.040915,0.04557,0.0288513333333333,0.05353325,0.06640875,0.0608225,0.0576565,0.05630325,0.043896,0.00904875,0.0126775
"7029",0.014375,0.008555,0.00932,0.00410133333333334,0.0206745,0.03627125,0.03135,0.0298815,0.03040825,0.0178793333333333,-0.0011515,-0.0078675
"7030",0,0,0,0,0,0,0,0,0,0,0,0
"7031",0.0145025,0.0055975,0.015285,0.00447133333333333,0.020545,0.03585125,0.03088,0.0295465,0.03030075,0.0178593333333333,-0.001979,-0.000299999999999995
"7032",0.2174325,0.2691075,0.1139925,0.02441,0.0127175,0.00468999999999999,0.0143475,0.020435,0.026655,0.0316033333333333,0.08433,0.2079475
"7033",0.4127225,0.4711125,0.2534725,0.0836846666666667,0.08079325,0.07261375,0.07932,0.084334,0.08675575,0.0941126666666667,0.15601175,0.3481775
"7056",0,-7.50000000002138e-06,0,0,0,0,0,0,0,0,0,2.5000000000025e-06
"7057",0,0,0,0,0,0,0,0,0,0,0,2.5000000000025e-06
"7058",2.49999999998862e-06,0,0,0,0,0,0,0,0,0,0,-2.5000000000025e-06
"7059",-5.000000000005e-06,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0
"7061",2.50000000001638e-06,0,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0
"7062",0,0,0,0,0,0,0,0,0,0,0,0
"7063",-2.50000000001638e-06,0,0,0,0,0,0,0,0,0,0,0
"7064",-2.49999999998862e-06,-2.49999999998862e-06,0,0,0,0,0,0,0,0,0,-2.49999999998862e-06
"7066",2.50000000001638e-06,-5.000000000005e-06,2.5000000000025e-06,0,0,0,0,0,0,0,0,0
"7093",0.0407325,0.01059,0.0301125,0.0172133333333333,0.0268375,0.02273,0.017305,0.0201125,0.0217125,0.0224,0.0102425,0.02049
"7166",-0.15948,-0.159125,-0.1400325,-0.0447266666666667,-0.04699875,-0.0304175,-0.0322725,-0.0330525,-0.02925,-0.04464,-0.0640825,-0.0931875
"7167",0.036695,0.021725,0.0482925,0.0224366666666667,0.03240525,0.02912,0.0284225,0.0270375,0.0253875,0.02607,0.01162,0.013895
"7168",0.00990000000000001,0.011885,0.00724750000000001,0.004918,0.02095625,0.03707625,0.032145,0.0304065,0.03072325,0.0178893333333333,-0.001554,-0.00649249999999999
"7169",0.015345,0.00951750000000001,0.00912749999999999,0.004518,0.0208865,0.03686375,0.031895,0.030229,0.03066575,0.0178793333333333,-0.00173574999999999,0.000697500000000004
"7170",0.0112125,0.0129775,0.0036325,0.00503466666666667,0.02082,0.03665375,0.0316525,0.030059,0.03061075,0.0178693333333333,-0.001096,-0.0066775
"7172",0.1810225,0.2013975,0.1410475,0.0583713333333333,0.06809325,0.06786625,0.064975,0.063949,0.06009075,0.0625493333333333,0.0701335,0.126215
