"","c.alb.jan","c.alb.feb","c.alb.mar","c.alb.apr","c.alb.may","c.alb.jun","c.alb.jul","c.alb.aug","c.alb.sep","c.alb.oct","c.alb.nov","c.alb.dec"
"3689",0.206325,0.2127875,0.1518575,0.0537046666666667,0.06752575,0.06780125,0.0649775,0.0658865,0.06032075,0.0632946666666667,0.08711825,0.1564675
"3690",0.2050875,0.2125025,0.1503175,0.054608,0.06752575,0.06780625,0.0649675,0.0657815,0.06024825,0.0624223333333333,0.0939505,0.154955
"3702",0,0,0,0,0,0,0,0,0,0,0,0
"3705",0.02619,0.0228425,0.02614,0.00873466666666668,0.020318,0.03272625,0.033255,0.0288965,0.02595825,0.0188193333333333,-0.000844999999999999,0.0047625
"3706",0,0,0,0,0,0,0,0,0,0,0,0
"3843",0.0302825,0.02958,0.025805,0.0101913333333333,0.0206205,0.03379375,0.03465,0.0295315,0.02617575,0.0188793333333333,-0.0010085,0.00804999999999999
"3844",-0.1766275,-0.184515,-0.12572,-0.0470466666666667,-0.04705475,-0.0342425,-0.0305,-0.035285,-0.0334,-0.0435933333333333,-0.072655,-0.140095
"3954",0.370465,0.33759,0.1875875,0.0250933333333333,0.0216025,0.00749500000000001,0.024425,0.0286925,0.033855,0.0540433333333333,0.16442,0.330805
"3988",0.149885,0.1695575,0.0994925,0.0275933333333333,0.0168925,0.00259,0.006265,0.0072475,0.00691749999999999,0.0213233333333333,0.0546325,0.157855
"4132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4144",-0.1824725,-0.161155,-0.14467,-0.0459433333333333,-0.0475065,-0.0354025,-0.03308,-0.034925,-0.0328175,-0.0438833333333333,-0.069665,-0.135885
"4286",-0.180095,-0.1716675,-0.144665,-0.0446666666666667,-0.047382,-0.0349275,-0.03272,-0.03461,-0.03262,-0.0438966666666667,-0.0688375,-0.13576
"4293",0.02314,0.025825,0.0193425,0.00760133333333333,0.0201815,0.03245375,0.03113,0.028994,0.02666575,0.0185326666666667,-0.000956499999999999,0.0011175
"4395",0.051135,0.0412975,0.0550475,0.0299913333333333,0.05056075,0.06563375,0.0591075,0.0565615,0.05103075,0.040576,0.0088885,0.02986
"4427",0,0,0,0,0,0,0,0,0,0,0,0
"4430",0,0,0,0,0,0,0,0,0,0,0,0
"4432",0,0,0,0,0,0,0,0,0,0,0,0
