"","x"
"alb.jan",0
"alb.feb",0
"alb.mar",0.485465958328749
"alb.apr",2.67281736596868
"alb.may",0.078874893653804
"alb.jun",0
"alb.jul",0
"alb.aug",0
"alb.sep",0
"alb.oct",0
"alb.nov",0
"alb.dec",0
