"","x"
"B1",-0.909717336486818
"B2",-0.923531538331551
"B3",-0.991241120856013
"B4",-0.864225292503926
"B5",-1.01761529857883
"B6",-1.04977073923657
"B7",-0.609688266820675
"B8",-0.578850846727903
"B9",-0.488856232104597
"B10",-0.2963432210074
"B11",-0.139662762355005
"B12",-0.22321635598092
"B13",0.0209695829243614
"B14",0.0689815747926014
"B15",0.0244214603489803
"B16",0.587771527145843
"B17",0.748224103237212
"B18",1.78513637975091
"B19",2.13187536199575
"B20",2.40866535018552
"B21",2.36597280567379
"B22",2.51133651938781
"B23",2.41093649436479
"B24",2.08088723093308
"B25",1.8391897770455
"B26",1.52903545355484
"B27",1.44531754431605
"B28",1.38972063771335
"B29",1.25451098156278
"B30",1.1057740524159
"B31",1.02854003904889
"B32",1.1140655475346
"B33",1.02096210283664
"B34",0.83558963399319
"B35",0.427494452560277
"B36",0.276114176542185
"B37",-0.0811306314080078
"B38",-0.224867673060559
"B39",-0.376561225809452
"B40",-0.347097606460321
"B41",-0.384106989174376
"B42",-0.467381288369505
"B43",-0.908850407185036
"B44",-0.809022694008911
"B45",-0.792641574410747
"B46",-0.710472943603744
