LC,Code,B31_Senescent,B3_1Green,B32_Senescent,B32_Green,Broadband_peres,CERES,Broadband_Wilber
Evergreen,1,0.986,0.989,0.988,0.991,0.9972,0.9903,0.9956
Mixed,5,0.977,0.988,0.9795,0.9905,0.9956,0.984,0.9928
Deciduous,4,0.968,0.987,0.971,0.99,0.9939,0.9777,0.99
Mosaic ,14,0.975,0.988,0.978,0.991,0.9946,0.9828,0.983
Crop,12,0.973,0.987,0.975,0.991,0.9958,0.9817,0.9813
Urban,13,1,1,1,1,0.9941,1,1
Snow/ice,15,0.988,0.988,0.977,0.977,0.9771,0.9998,0.9999
Soil/barren,16,0.977,0.977,0.982,0.982,0.9645,0.8686,0.9412
